Model,Train R2,Test R2,RMSE,MAE
Linear Regression,0.928331545565795,0.9301046431962188,4.5026332295321865,3.5959131782734066
Polynomial (Degree 2),0.9377092268931393,0.9382776706597885,4.2312000855365435,3.3513498086710207
Ridge Regression,0.937691678969581,0.9382454815917117,4.232303257081898,3.3518084961074623
